"Row.names"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2_repeat.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_2.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_1.mzML.dia"	"G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_2.mzML.dia"	"Protein.Group"	"Protein.Ids"	"Protein.Names"	"Genes"	"First.Protein.Description"
"AASDHPPT_HUMAN"	10828469.8830244	9456581.38857259	7056469.22535243	6752250.74685999	5767231.66106311	5547962.56296573	6375744.8544513	5736056.87726955	8731223.28098565	8173461.95959351	4860061.22550517	4757085.92565105	3790213.64032115	3456569.04102632	3940046.46489593	3681143.94184881	9863213.63385068	9194736.20930658	6773890.91445988	6362636.51877873	5493998.16448446	5176961.93505231	6055664.4925173	3385138.37650605	5478724.01802482	5197824.28071934	4015368.02438375	4009440.18852385	2833098.2003366	2774913.88375575	5598325.23586829	5196597.46685368	4365601.3157046	4123959.06021578	3049117.54465649	3113031.78285599	"Q9NRN7"	"Q9NRN7;E9PLW6;E9PNF3"	"ADPPT_HUMAN"	"AASDHPPT_HUMAN"	"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"AATF_HUMAN"	5732677.78780139	4875990.7235085	4563415.89438828	4212249.37121277	4140072.2576344	4108672.28776052	4563595.71852168	4506061.53205586	4125413.87438671	4382723.62090681	3033034.18066856	2954711.39323561	3152790.79207489	2826603.20901069	3052593.29621807	3110754.42206319	2801945.04216956	3184339.07132448	3929893.48942314	3824400.04956671	1462281.24809191	2774719.99991384	3923902.94053413	2703292.51673754	3108971.47012	2893996.75836153	3126115.80775893	3264696.29353709	2365863.42907483	2317059.69374279	3322810.67342484	3181956.57500667	3107048.79849961	3202740.68633173	2088439.2937868	2247335.42170137	"Q9NY61"	"Q9NY61;A0A087WTH8;A0A7P0T868;A0A7P0TAR0;A0A7P0TBI0;A0A7P0Z4P2;A0A087WWS8;A0A0J9YWE9;Q9JKX4"	"AATF_HUMAN"	"AATF_HUMAN"	"Protein AATF"
"ABCB10_HUMAN"	709823.026224787	622869.78231402	169194.040164378	157139.148518506	325319.985328023	286025.172973866	145160.880575885	181959.442083235	479751.628613902	412034.821338712	228724.833563317	214389.331367065	389565.620505201	321730.382276416	229839.00244966	242439.008463708	351466.470774412	399322.854471726	369916.896895609	325357.300467038	185178.55526297	209602.272563908	179008.386093894	233923.547560723	547855.609324833	541499.358695651	257623.229490173	246182.468122086	214292.95850734	219171.911438195	374909.720961229	344523.489160066	334429.394140424	291568.677437586	126874.385084	104948.122486639	"Q9NRK6"	"Q9NRK6"	"ABCBA_HUMAN"	"ABCB10_HUMAN"	"ATP-binding cassette sub-family B member 10, mitochondrial"
"ABCC1_HUMAN"	14757578.9276552	13629640.9603659	8097915.76712022	8054497.07851824	7387970.21445182	7163593.11737254	6829744.90507911	6770939.50953947	10181588.4054491	9851573.98482971	6646446.56435772	6348875.28155934	6733753.56737374	6357484.79845714	6186958.70494135	6215234.34553189	11320372.6723599	10766645.4479603	9368408.87049095	9248764.43267659	8311992.36954586	8107429.27676823	7348655.3467862	5935461.40929246	4429903.38444405	4785489.34461678	3163746.50816577	3029467.07006228	3580449.4156568	3556571.14366068	4747381.21388952	4552237.92270125	3505203.50240889	3645360.56870668	3131197.58783755	3090836.44686536	"P33527"	"P33527;A0A7I2V2E0;A0A7I2V4C6;I3L4X2"	"MRP1_HUMAN"	"ABCC1_HUMAN"	"Multidrug resistance-associated protein 1"
"ABCC4_HUMAN"	702785.964253045	662493.364922791	330337.434035881	310041.699702574	349398.670657386	342229.02029778	316849.382922624	274801.302645851	566370.310238606	543094.545974518	363839.895376062	295699.123952899	403841.279049928	320021.559708982	356080.903698298	328452.533257748	614145.736803242	610983.95173031	813643.62863179	784540.656743097	348758.527150058	338602.175174409	434380.529136625	294857.505098477	204238.024437599	183751.078783737	NA	72866.8656604841	NA	NA	NA	187790.999999296	NA	NA	NA	65542.1949458525	"O15439"	"O15439;A0A2R8Y6V8;E9Q236;E9Q467"	"MRP4_HUMAN"	"ABCC4_HUMAN"	"ATP-binding cassette sub-family C member 4"
"ABCD1_HUMAN"	5460642.40727318	5087987.85535028	2741369.75409385	2773338.90315311	3356940.03053615	3357561.09309535	2145169.39933297	2116896.80076582	4312002.37882875	4161515.31226617	3414609.13837375	3307894.6624933	3982391.64454919	3567104.25086289	3124915.62055823	3144534.0903136	4149394.50772455	3984664.56582121	4029466.7492707	4002781.08341451	3326960.20612511	3215277.47266679	2620913.56865157	2832522.9853518	3245612.65452684	3031076.3103343	2708894.56662007	2713957.91680882	3245014.68862166	3166104.33507582	3281365.32926772	3416360.75760761	2294442.46961303	2242976.34787891	1909322.59525958	1989025.68497196	"P33897"	"P33897"	"ABCD1_HUMAN"	"ABCD1_HUMAN"	"ATP-binding cassette sub-family D member 1"
"ABCD3_HUMAN"	9262592.21024687	8452342.17799849	4327916.96793315	4226220.0779374	5228499.33574694	5278669.19142412	2986202.57273129	3004280.88593041	7004911.70890032	6749034.75685542	4475574.69223427	4186236.4680787	5814354.22227463	5240268.72441619	4707400.51417225	4604043.23877004	6454712.81350559	6167006.60366024	5952975.52803815	5823963.76729983	4488532.66687991	4331225.19017982	3672586.94601337	4295252.73058514	4258392.4822623	4042416.12783735	2816652.29555789	2819424.53404267	2641013.73981781	2581779.21597318	4051592.7925115	3923315.11044736	3595067.98103841	3593809.64842197	2295988.22264247	2466988.52827389	"P28288"	"P28288;A0A3B3ITW3;P55096;A0A0G2JDI9"	"ABCD3_HUMAN"	"ABCD3_HUMAN"	"ATP-binding cassette sub-family D member 3"
"ABCE1_HUMAN"	12591920.2626134	11577516.8506514	8439406.28961513	8066845.27930498	6987848.536566	6979548.75704992	6773566.34725738	6714105.6153215	9298255.00174877	8986651.3781375	6512588.31074694	6380266.68975189	6166642.5616457	6120505.46190869	5931113.38592051	5565372.01168831	8781960.66911731	9036575.65192086	6986538.63114957	6967318.80014394	6620822.40063072	6681188.43156034	6780027.8886604	5133292.67337537	7651440.65659953	7521171.36333499	6732725.06560193	6435349.32600267	4917114.20577992	4854254.91840488	7982195.2959291	7663810.78809858	7159669.49002959	6664019.10366469	5117861.43821075	4920279.33569451	"D6R9I9"	"D6R9I9;D6RGF4;H0Y990"	"D6R9I9_HUMAN"	"ABCE1_HUMAN"	"ATP binding cassette subfamily E member 1"
"ABCF1_HUMAN"	12699852.7341585	12050528.5604809	9047070.55724347	9124993.17919336	9452769.54907661	9509061.67805257	8233814.1258878	8082388.54596775	8748391.4704383	8318350.92658441	6145226.27883537	6164337.42290151	6764086.82028574	6450255.97149729	5997604.86422675	5947694.93240396	4180375.53714193	4237587.49679693	7918213.655551	7727292.61488032	4438331.08384943	4298323.33184523	7729308.77363757	5428435.03411693	8662261.3439625	8286361.6349202	8827619.90454207	8641482.20597135	5197407.04050278	5086511.67520022	8449844.39360848	8168159.88626675	8931394.51182086	8636657.1898696	5831759.02996963	5742656.02154159	"Q8NE71"	"Q8NE71"	"ABCF1_HUMAN"	"ABCF1_HUMAN"	"ATP-binding cassette sub-family F member 1"
"ABCF1_HUMAN;PRRC2B_HUMAN"	1241960	1160480	533629	429949	460005	564726	307031	126533	603102	423646	287884	276942	317269	299880	302474	285045	560295	353000	526717	517507	166160	186003	515140	133419	791416	634348	648448.000000001	682666	371263	355733	747886	672282	534839	545432	319607	250196	"Q5JSZ5;Q8NE71"	"Q8NE71;Q5JSZ5;A0A804HJR4;A0A804HKC3;H0YGW7;Q5STZ8;Q6P542;Q7TPM1;F6Q3E1;F6V431;F7AYW2;F8WHT3"	"ABCF1_HUMAN;PRC2B_HUMAN"	"ABCF1_HUMAN;PRRC2B_HUMAN"	"Protein PRRC2B"
"ABCF2_HUMAN"	9097231.63586717	8288694.49371136	7385596.74762168	7240109.02698312	5739503.10736264	5634330.22700575	5882702.67427676	5846870.74873085	6036551.34425165	5791342.16695229	3764551.02691462	3945437.16049831	3534708.59060095	3349980.45899579	3244777.60398548	3093059.19170374	6965231.12374222	6709372.13643322	5598901.24472799	5514098.22883719	4935569.41334001	4942222.89421208	5026185.09401988	2914254.02964599	4883154.19482898	4696353.99341033	4759394.80143937	4780633.99222496	4767621.22129904	4597876.97288687	4823319.35550832	4704875.4509532	4826687.7439783	4562022.71431067	3638586.01253008	3611525.65208267	"Q9UG63"	"Q9UG63;Q99LE6"	"ABCF2_HUMAN"	"ABCF2_HUMAN"	"ATP-binding cassette sub-family F member 2"
"ABCF3_HUMAN"	4917616.67134142	4235942.55461466	3096395.81467593	2866610.26647338	2200547.88126832	2261470.36091613	2660422.37004356	2528082.21128274	3509745.30616458	3385549.70262206	2246515.31600357	2133287.793973	2105823.08421439	1997456.25877491	1896886.27141598	1655339.61313339	4177429.84702514	3620110.86025889	2933173.88907474	2915894.66516804	2602884.8199887	2390502.99828783	2599947.56908252	1561991.47881361	2383093.70881713	2466260.48325711	2185643.33238528	2138643.27542954	1865279.99994302	2047320.85408467	2608998.44278814	2321733.1114902	2677412.77036752	2633627.19573446	1701121.49587091	1436096.5830579	"Q9NUQ8"	"Q9NUQ8"	"ABCF3_HUMAN"	"ABCF3_HUMAN"	"ATP-binding cassette sub-family F member 3"
"ABCG2_HUMAN"	3652713.55204787	3333820.92050574	1764004.08922737	1696798.32649205	1702105.21236016	1724346.28194909	1386217.10954346	1335460.19052214	NA	NA	905476.046030752	856812.621086724	704387.192358628	468319.000005304	711466.132011029	664348.991655531	3650029.80802484	3503758.64535579	2199163.4686768	2157107.03728863	2808640.75746314	2648700.37328187	1611038.2858626	535412.884826768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Q9UNQ0"	"Q9UNQ0;F8S0F2;Q7TMS5;A0A0R4J0B6;S4R2E1;A0A0N4SWA2;D3YZX5;D3Z150"	"ABCG2_HUMAN"	"ABCG2_HUMAN"	"Broad substrate specificity ATP-binding cassette transporter ABCG2"
"ABHD10_HUMAN"	6503468.13106115	6169265.02765817	4040488.13020234	4032561.57494726	3951780.32771678	3942910.59803678	4231065.24175011	4046672.54895901	7026532.75740413	6891050.91172609	5447790.9992526	5258104.17147385	5106267.85526666	4733342.08290879	4821524.19271385	4844770.80726569	6784030.07493858	6593539.01840588	5240079.31322001	5136382.79460291	4373980.28475636	4369391.19718054	4602783.71192288	4417597.46026807	4626662.83718536	4333507.30789065	3994255.13498911	3868473.04727732	2877708.87222386	2807086.07521263	4755869.16767286	4638148.58482141	5074166.55335041	4954300.4807474	2997825.00290788	2911940.25878876	"Q9NUJ1"	"Q9NUJ1"	"ABHDA_HUMAN"	"ABHD10_HUMAN"	"Palmitoyl-protein thioesterase ABHD10, mitochondrial"
"ABHD11_HUMAN"	4643619.35627376	4251913.86483535	3225543.4383372	3138839.52408097	3039054.19625821	3108612.97940219	3038516.36315571	3112449.72236145	5315262.85756952	5076735.84659337	3769395.52454159	3602361.55675385	4449122.0714144	4042220.52307602	3766335.03805058	3672208.72756044	4893528.92597741	4650988.87183121	4210708.86196833	4105678.47110812	3245775.59109805	3210355.500921	3441047.69576499	3330250.06379298	3255421.44982499	3153091.85000521	7797704.05373739	7450545.85172474	4343287.7828256	4273663.0668137	5381602.3474803	5154993.0490841	4749865.30585927	4502546.63065967	3284671.10961257	3215529.88046652	"Q8NFV4"	"Q8NFV4"	"ABHDB_HUMAN"	"ABHD11_HUMAN"	"Protein ABHD11"
"ABHD12_HUMAN"	9564667.69691647	9204673.00515645	4277292.63150837	3934247.1881816	4367151.72293698	4360143.44836957	3046041.1887875	2881045.35150572	8414024.78897089	7512959.06712116	4467973.82654884	4161037.82132109	5686288.47031524	5222739.64069972	5012008.08402922	5242244.97073399	8071648.0903471	7764702.79725192	6817650.36708224	6662262.90864639	4906999.56649861	4690398.68634433	4683953.40004836	4829765.00260792	4134551.23027718	3804405.72118262	3438846.23975856	3463001.10821137	2587412.80584011	2308344.99847821	3271732.86731463	3216430.43204613	3040540.65670697	2557644.78035337	2409928.02288673	2359876.13653391	"Q8N2K0"	"Q8N2K0;A0A5F9ZGT4;A0A5F9ZH49;A0A5F9ZH71;A0A5F9ZHH2;A0A5F9ZHQ0;A0A5F9ZHQ8;I3L206"	"ABD12_HUMAN"	"ABHD12_HUMAN"	"Lysophosphatidylserine lipase ABHD12"
"ABHD14B_HUMAN"	8980797.78011218	7862065.89230533	5040150.42139899	4988080.42426643	3630606.07762509	3596927.55442716	4898522.91873509	5004590.97310836	9721492.48652886	9030761.89413704	6792085.22142325	6572610.4388457	6948425.57911459	6888706.26614042	6726893.68304594	6571183.40459014	9339256.83150217	9060304.87117932	6999427.89011097	6643788.43332637	4470260.68384056	4384024.09038496	5383469.34296337	5620597.4844545	7440653.42144993	7297998.4946495	6154202.94484206	5865746.31163555	5475767.78601021	5169088.18673994	6616952.00462831	6584920.39328751	4935249.04602503	4679825.40730825	3488186.6739383	3312096.52768466	"Q96IU4"	"Q96IU4;F8W9U3"	"ABHEB_HUMAN"	"ABHD14B_HUMAN"	"Putative protein-lysine deacylase ABHD14B"
"ABHD15_HUMAN"	16360000	13617100	6881450	6233470	3601390	3224780	4395390	4684490	8516710	7233060	3581320	3196340	3283590	2681530	2542400	2681780	12798400	11144800	8084729.99999999	7459270	4034300	3710120	4289040	2068700	5629750	4921150	2986760	3071720	2946690	2717060	5381340	4790530	3518250	3052490	2772250	2562410	NA	NA	NA	NA	NA
"ABHD16A_HUMAN"	1487563.15296498	1389275.91678728	1028531.13571902	999849.814944764	1110130.85096125	1119216.9734169	884570.716037333	876915.337542165	1394940.19239266	1340518.70137183	1043288.53863864	992097.479761223	1196193.17877043	1189019.40989089	1090357.22470955	1042822.8005562	1107285.75127669	1139694.1485949	1197724.2553404	1174057.37406763	1028943.43429267	1081966.65045463	1076570.81437742	977398.4429556	1303675.65442918	1240012.86448175	1001942.90163723	997740.405638733	879747.276217626	846732.811851782	1217120.11379205	1163810.62428246	1268905.35618587	1210741.81804862	882322.125893698	874062.118032985	"O95870"	"O95870;A0A0G2JJD3;Q9Z1Q2"	"ABHGA_HUMAN"	"ABHD16A_HUMAN"	"Phosphatidylserine lipase ABHD16A"
