Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D1_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D2_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D3_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_2D4_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O1_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O2_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O3_2_repeat.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3O4_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y1_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y2_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y3_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_3Y4_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2A_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2B_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X2C_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3A_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3B_2.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_1.mzML.dia	G:\11_22_23_rr_proteome\dia\mzml\DIA_X3C_2.mzML.dia
A0A087WS16	A0A087WS16	A0A087WS16_MOUSE	Col6a3	Collagen, type VI, alpha 3																									7.47506e+06	6.52039e+06	7.46903e+06	7.14494e+06	5.43576e+06	5.21104e+06	9.05868e+06	8.51184e+06	3.88329e+06	2.83087e+06	7.64427e+06	9.35152e+06
A0A087WS16;E9PWQ3	E9PWQ3;J3QQ16;A0A087WS16;D3YWD1	A0A087WS16_MOUSE;E9PWQ3_MOUSE	Col6a3	Collagen, type VI, alpha 3																									4.44816e+06	4.34889e+06	7.82451e+06	7.71735e+06	5.56695e+06	5.34419e+06	6.50725e+06	6.42622e+06	4.60095e+06	4.66667e+06	1.01788e+07	9.61678e+06
A0A087WT20	A0A087WT20	A0A087WT20_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13	2.11991e+06	2.15551e+06	2.16862e+06	2.21568e+06	2.0586e+06	2.09473e+06	1.78875e+06	1.81263e+06	1.39322e+06	1.25211e+06	1.31258e+06	1.17294e+06	1.13406e+06	1.06147e+06	1.25844e+06	1.20595e+06	1.72203e+06	1.58537e+06	1.35045e+06	1.31684e+06	1.41365e+06	1.60129e+06	1.83182e+06	941782	1.5632e+06	1.49849e+06	1.67633e+06	1.79059e+06	1.38895e+06	1.21736e+06	1.7592e+06	1.64705e+06	1.38041e+06	1.53466e+06	1.42017e+06	1.36805e+06
A0A087WTT6	A0A087WTT6	A0A087WTT6_HUMAN	RPS29	Small ribosomal subunit protein uS14	2.24364e+07	2.31746e+07	2.34802e+07	2.31179e+07	2.70363e+07	2.6109e+07	2.51351e+07	2.45624e+07	2.08216e+07	2.19057e+07	1.56272e+07	1.58388e+07	2.01984e+07	2.11019e+07	2.05846e+07	1.99229e+07	2.13618e+07	2.21911e+07	2.25447e+07	2.20952e+07	2.33477e+07	2.47936e+07	2.55654e+07	1.95272e+07	1.9315e+07	1.8424e+07	1.98819e+07	2.1061e+07	2.01798e+07	2.09618e+07	1.93333e+07	1.90206e+07	2.0052e+07	1.97912e+07	2.04432e+07	1.99491e+07
A0A087WUT6	A0A087WUT6	A0A087WUT6_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	509301	524809	634639	622389	672310	644069	550479	581773	506825	499025	488801	478535	559665	607432	500207	541670	274756	150780	549674	566280	269137	254245	595989	452402	503257	594568	552297	647579	537604	529193	531577	566071	556618	571608	478645	499267
A0A087WVQ9	A0A087WVQ9	A0A087WVQ9_HUMAN	EEF1A1	Elongation factor 1-alpha	4.48531e+08	4.41787e+08	4.33524e+08	4.25004e+08	3.69028e+08	3.58097e+08	4.24239e+08	4.0969e+08	3.55618e+08	3.60934e+08	3.07528e+08	3.10208e+08	3.38715e+08	3.28706e+08	3.20916e+08	3.15024e+08	4.13381e+08	4.20311e+08	4.5786e+08	4.61619e+08	4.58556e+08	4.54722e+08	3.99858e+08	3.18834e+08	2.64984e+08	2.63713e+08	2.62217e+08	2.58097e+08	2.31419e+08	2.36873e+08	2.55157e+08	2.50422e+08	2.56305e+08	2.56621e+08	2.5114e+08	2.51142e+08
A0A087WWI6;A0A8I5KRG1	A0A8I5KQ63;A0A087WWI6;A0A8I5KRG1;A0A8I5KT41;A0A8I5QKQ1	A0A087WWI6_HUMAN;A0A8I5KRG1_HUMAN	DCAF7	DDB1 and CUL4 associated factor 7	1.18801e+06	1.25135e+06	1.22452e+06	1.20655e+06	1.16066e+06	1.13667e+06	1.53886e+06	1.47592e+06	1.18155e+06	1.19414e+06	1.40918e+06	1.40226e+06	1.48962e+06	1.48225e+06	1.51423e+06	1.60187e+06	1.44011e+06	1.37867e+06	1.45125e+06	1.48882e+06	1.41779e+06	1.44667e+06	1.5292e+06	1.47246e+06	1.19503e+06	1.26867e+06	1.22068e+06	1.21999e+06	1.3656e+06	1.38921e+06	1.2531e+06	1.34095e+06	1.50841e+06	1.6236e+06	1.38447e+06	1.4121e+06
A0A087WWU8	A0A087WWU8	A0A087WWU8_HUMAN	TPM3	Tropomyosin 3	3.13016e+07	3.01085e+07	3.04286e+07	2.99845e+07	3.21494e+07	3.12562e+07	2.62802e+07	2.68395e+07	3.59249e+07	3.70725e+07	2.88762e+07	2.75286e+07	2.84269e+07	2.82922e+07	2.86829e+07	2.89472e+07	3.54693e+07	3.49379e+07	2.95664e+07	2.94946e+07	3.13411e+07	3.10594e+07	2.86401e+07	2.99876e+07	3.64604e+07	3.61497e+07	3.79543e+07	3.64413e+07	3.78315e+07	3.61443e+07	3.7126e+07	3.77206e+07	3.53099e+07	3.35354e+07	3.96945e+07	3.92052e+07
A0A087WWU8;D3Z2H9	A0A2R2Y2Q3;J3KN67;A0A087WWU8;A0A494C0P6;D3Z2H9;E9Q5J9	A0A087WWU8_HUMAN;D3Z2H9_MOUSE	TPM3;Tpm3-rs7	Tropomyosin 3	787636	1.00898e+06	1.16062e+06	1.11251e+06	1.12603e+06	1.08081e+06	874759	925498	1.08483e+06	1.11836e+06	1.07764e+06	1.0825e+06	553173	508629	814065	725305	1.18787e+06	1.15846e+06	644315	699160	845201	892384	862935	662527	928505	909319	1.09037e+06	1.07278e+06	860426	768879	864732	870666	890363	833376	828344	820527
A0A087WX23	A0A087WX23	A0A087WX23_HUMAN	PEG10	Paternally expressed 10	146470	133607	298592	314763	357075	268244	359184	317630	187561	181972	236656	260210	341370	338135	313918	318202	194552	194888	308035	322315	376487	425714	245555	305925	395158	416686	361826	370612	781320	842649	335659	392637	588440	760384	566128	529532
A0A087WY03	A0A087WY03	A0A087WY03_HUMAN	SREK1	Splicing regulatory glutamic acid and lysine rich protein 1	4.84062e+06	4.81333e+06	5.07176e+06	5.22804e+06	5.48786e+06	5.34516e+06	5.48711e+06	5.44664e+06	4.48243e+06	4.63593e+06	4.95198e+06	5.05121e+06	2.76215e+06	2.76609e+06	3.24922e+06	3.03376e+06	2.39445e+06	2.15463e+06	4.76394e+06	4.86618e+06	2.3905e+06	2.39672e+06	4.93975e+06	3.28121e+06	4.97341e+06	5.03716e+06	4.61266e+06	4.72694e+06	4.54898e+06	4.5037e+06	4.72866e+06	4.84659e+06	4.67401e+06	4.74191e+06	4.58213e+06	4.5539e+06
A0A087WY74	A0A087WY74	A0A087WY74_HUMAN	CSNK2A1	Casein kinase 2 alpha 1 (Fragment)			1.77991e+06	2.00769e+06		2.22968e+06	1.999e+06	1.93386e+06			1.60876e+06	1.66472e+06	1.70299e+06	1.60872e+06	1.48221e+06	1.54738e+06			1.96015e+06	1.86846e+06	2.10721e+06	2.15579e+06	2.09479e+06	1.61073e+06	1.7349e+06	1.6727e+06	2.03213e+06	2.04163e+06	1.85741e+06	1.57365e+06	1.74311e+06			1.62867e+06	1.77033e+06	1.79086e+06
A0A087WY96	A0A087WY96	A0A087WY96_HUMAN	SLC6A6	Transporter	571613	595652	585035	554838	712205	721581	786686	842252	395580	376480	549132	567367	851424	878931	917381	892465	610036	690548	1.17408e+06	1.18045e+06	1.06463e+06	943911	915277	951438	86802.1	85193.7		116986	260566	313492	88966.6	78762.3	113916	141821		72538.1
A0A087WZ13	A0A087WZ13	A0A087WZ13_HUMAN	RAVER1	Ribonucleoprotein, PTB binding 1	1.60941e+07	1.60486e+07	1.89336e+07	1.89309e+07	1.70322e+07	1.62278e+07	2.14297e+07	2.20463e+07	1.52846e+07	1.5228e+07	1.73465e+07	1.69755e+07	1.6621e+07	1.63665e+07	1.78234e+07	1.75732e+07	1.62543e+07	1.61893e+07	1.61885e+07	1.67633e+07	1.86884e+07	1.99288e+07	2.04055e+07	1.76879e+07	1.52339e+07	1.50114e+07	1.68101e+07	1.66792e+07	1.59384e+07	1.50016e+07	1.60048e+07	1.65174e+07	1.6247e+07	1.65294e+07	1.63517e+07	1.66568e+07
A0A087X1X7	A0A087X1X7	A0A087X1X7_HUMAN	EEF1D	Elongation factor 1-delta	7.62355e+07	7.56279e+07	7.52099e+07	7.61737e+07	7.03729e+07	7.16868e+07	7.51574e+07	7.45409e+07	6.79511e+07	6.75394e+07	5.76332e+07	5.76023e+07	6.26147e+07	6.15699e+07	6.2527e+07	6.16407e+07	7.96219e+07	7.92929e+07	7.40685e+07	7.39948e+07	7.53656e+07	7.85546e+07	7.44319e+07	6.23883e+07	4.74833e+07	4.81157e+07	4.40569e+07	4.44607e+07	4.91774e+07	4.86617e+07	5.22415e+07	5.01523e+07	4.60252e+07	4.61066e+07	4.92669e+07	4.86354e+07
A0A087X2I1	A0A087X2I1;H0YJC0;H0YJS8	A0A087X2I1_HUMAN	PSMC6	Proteasome 26S subunit, ATPase 6	3.89376e+06	3.69464e+06	3.58572e+06	3.44042e+06	3.17118e+06	3.2339e+06	3.3224e+06	3.29048e+06	4.26133e+06	3.83818e+06	3.81155e+06	3.55934e+06	3.54415e+06	3.11417e+06	3.39975e+06	3.13984e+06	4.07159e+06	3.86611e+06	3.72442e+06	3.81815e+06	3.21141e+06	3.24577e+06	3.43177e+06	2.95931e+06	3.71517e+06	3.44651e+06	3.62511e+06	3.57126e+06	3.15878e+06	3.08601e+06	3.75411e+06	3.97619e+06	3.688e+06	3.54787e+06	3.4435e+06	3.74705e+06
A0A096LP25	A0A096LP25;Q6ZSR9	A0A096LP25_HUMAN	AAK1	AP2 associated kinase 1	5.74918e+06	5.7288e+06	5.95437e+06	5.8948e+06	5.60621e+06	5.79309e+06	5.93331e+06	6.10707e+06	5.35392e+06	5.53392e+06	5.04078e+06	4.919e+06	5.09158e+06	5.22548e+06	5.04755e+06	5.145e+06	5.73122e+06	6.01389e+06	6.1876e+06	6.21744e+06	6.07853e+06	6.10417e+06	6.9015e+06	5.24915e+06	2.7695e+06	2.8946e+06	2.90978e+06	3.07112e+06	4.09749e+06	3.62792e+06	3.09608e+06	3.32223e+06	3.39924e+06	3.2798e+06	3.85082e+06	3.6738e+06
A0A0A0MQA5	A0A0A0MQA5	A0A0A0MQA5_MOUSE	Tuba4a	Tubulin alpha chain (Fragment)	524942	411762	425549	441091	437834	438318	316345	335109	904335	863079	594344	633060	471004	381975	377301	389685	635108	671405	598533	622894	590644	568413	380798	319422	1.29115e+06	1.17727e+06	1.92651e+06	1.97707e+06	1.17071e+06	1.08241e+06	2.35355e+06	2.18282e+06	2.3066e+06	2.14238e+06	1.287e+06	1.22909e+06
A0A0A0MQM0;C9J4W5;C9J7B5;F8WCJ1;I3L397;I3L504	C9J4W5;C9J7B5;F8WCJ1;I3L397;I3L504;A0A0A0MQM0	A0A0A0MQM0_MOUSE;C9J4W5_HUMAN;C9J7B5_HUMAN;F8WCJ1_HUMAN;I3L397_HUMAN;I3L504_HUMAN	EIF5A;EIF5A2;Eif5a	Eukaryotic translation initiation factor 5A (Fragment)	2.35701e+07	2.30543e+07	2.59135e+07	2.68185e+07	2.56383e+07	2.46011e+07	2.57087e+07	2.60437e+07	2.20628e+07	2.27417e+07	2.16046e+07	2.27794e+07	2.42736e+07	2.58874e+07	2.55954e+07	2.54058e+07	2.68561e+07	2.53612e+07	2.44617e+07	2.51846e+07	2.95145e+07	2.71009e+07	2.6888e+07	2.54739e+07	1.90072e+07	2.05087e+07	2.22635e+07	2.19212e+07	2.14614e+07	2.19559e+07	1.85804e+07	1.9063e+07	2.05478e+07	2.28039e+07	2.12546e+07	2.32273e+07
A0A0A0MR39	A0A0A0MR39	A0A0A0MR39_HUMAN	MYEF2	Myelin expression factor 2	6.40306e+06	6.47366e+06	6.39355e+06	6.14938e+06	6.28758e+06	6.52211e+06	7.03817e+06	6.69341e+06	6.08718e+06	5.72912e+06	4.69728e+06	4.8047e+06	5.12455e+06	4.92561e+06	4.9581e+06	4.98459e+06	5.8269e+06	6.25015e+06	6.09776e+06	5.92409e+06	5.40821e+06	5.27085e+06	6.18782e+06	4.98343e+06	6.14486e+06	6.27927e+06	4.18011e+06	4.19367e+06	4.64134e+06	4.51458e+06	5.72136e+06	5.41828e+06	4.93341e+06	4.8961e+06	5.5162e+06	5.2925e+06
A0A0A0MRM8	A0A0A0MRM8	A0A0A0MRM8_HUMAN	MYO6	Unconventional myosin-VI	1.2441e+07	1.2056e+07	1.10053e+07	1.15291e+07	9.90705e+06	9.70406e+06	1.0578e+07	1.06991e+07	1.30612e+07	1.28779e+07	1.195e+07	1.17895e+07	1.36616e+07	1.29643e+07	1.27557e+07	1.2636e+07	1.16591e+07	1.20687e+07	1.26372e+07	1.2808e+07	1.0055e+07	1.02626e+07	1.03461e+07	1.25842e+07	1.06514e+07	1.07351e+07	1.11584e+07	1.10026e+07	8.68913e+06	8.33299e+06	9.73595e+06	9.90837e+06	1.14206e+07	1.13201e+07	1.01501e+07	1.07953e+07
A0A0A0MS29;A0A9L9PYL0;E9PQX8;H7C433	A0A0A0MS29;H7C433;A0A9L9PYL0;E9PQX8	A0A0A0MS29_HUMAN;A0A9L9PYL0_HUMAN;E9PQX8_HUMAN;H7C433_HUMAN	MFF	Mitochondrial fission factor	864818	752993	1.043e+06	984987	1.14853e+06	1.2457e+06	1.12788e+06	1.237e+06	992422	922702	1.34062e+06	1.44435e+06	1.29108e+06	1.37125e+06	1.2075e+06	1.26194e+06	1.1081e+06	1.10154e+06	1.32687e+06	1.31661e+06	1.41403e+06	1.49891e+06	1.36666e+06	1.39275e+06	807243	809222	1.09852e+06	1.16691e+06	1.19531e+06	1.16516e+06	907502	931780	957187	996866	1.10426e+06	1.03655e+06
A0A0A0MS51;A0A0A0MT01;A0A8V8TND7	Q5T0I0;A0A0A0MS51;A0A0A0MT01;A0A8V8TND7	A0A0A0MS51_HUMAN;A0A0A0MT01_HUMAN;A0A8V8TND7_HUMAN	GSN	Gelsolin	1.55953e+07	1.57169e+07	1.92078e+07	1.97374e+07	1.44957e+07	1.44753e+07	1.98161e+07	1.95958e+07	2.51103e+07	2.5e+07	2.48935e+07	2.56013e+07	2.98293e+07	2.90205e+07	2.77452e+07	2.76076e+07	1.78871e+07	1.79691e+07	2.34197e+07	2.36799e+07	1.7501e+07	1.74094e+07	1.82146e+07	2.66416e+07	2.73482e+07	2.77682e+07	3.466e+07	3.47632e+07	5.27994e+07	5.43246e+07	3.61557e+07	3.7887e+07	5.47051e+07	5.45354e+07	5.04513e+07	4.74142e+07
A0A0A0MSI0	A0A0A0MRQ5;A0A0A0MSI0	A0A0A0MSI0_HUMAN	PRDX1	Peroxiredoxin-1 (Fragment)	2.8142e+07	3.1154e+07	3.7324e+07	3.73648e+07	4.32073e+07	4.39257e+07	4.22618e+07	4.15302e+07	4.21447e+07	4.26603e+07	4.77125e+07	4.93836e+07	4.62998e+07	4.31345e+07	4.31085e+07	4.09444e+07	3.90897e+07	3.94191e+07	4.31618e+07	4.55765e+07	4.75032e+07	4.79215e+07	4.51003e+07	4.14117e+07	3.39742e+07	3.42471e+07	4.31693e+07	4.42192e+07	4.95673e+07	4.81433e+07	4.16052e+07	4.2684e+07	4.35165e+07	4.37393e+07	3.72856e+07	3.74597e+07
